Source Location,Namespace,Key,Original,Translated
/Game/Vein/Animals/BP_Wolf.Default__BP_Wolf_C.UsableName,,1411B9CE4472D4D5FCC9828FFDB3623B,Wolf,Lupo
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(0).Flexes.FlexName,,6B4CE6A6429949F3F004B1B9F2EF9208,Wink,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(1).Flexes.FlexName,,BACDEB5F46CCF730A8822F9E6A5126A4,Triumph,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(10).Flexes.FlexName,,E3FE3E1A4101AA7ABA7555A76001FF65,Serious,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(11).Flexes.FlexName,,DCBDEDA74DDD898B243B7782385A6F50,Scream,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(12).Flexes.FlexName,,6E3D67964FF1C18221C634A1243F3942,Sarcastic,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(13).Flexes.FlexName,,D2B1E9E343B500D2EC755B84246D64A6,Sad,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(14).Flexes.FlexName,,63B222F74B9964E4A472C983BE8E25F5,Rage,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(15).Flexes.FlexName,,573E026C46AC86E652B7FB8846D45F2C,Pouty,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(16).Flexes.FlexName,,3762CC0048E71EC626ED65BBF9273552,Pleased,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(17).Flexes.FlexName,,5B36F38F4EC30D3B4599A6AEC17AF5F6,Pain,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(18).Flexes.FlexName,,5FAFC99B488D2B5AE5009DB457797E65,Irritated,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(19).Flexes.FlexName,,63C8D2F34786CCA82B012A8393F05FE4,Incredulous,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(2).Flexes.FlexName,,427ED4374CFA130F737E99B663A46CA6,Tired,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(20).Flexes.FlexName,,A1CE93E845B97F28DEDF14ABEB25E7A8,Ill,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(21).Flexes.FlexName,,E62D474649FFBC4D710F0BB076802EBA,Ignore,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(22).Flexes.FlexName,,E66B99784D8864CEC276D5A385FE34D8,Happy,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(23).Flexes.FlexName,,6A3829C944B9DDAF72EB8FBB07072EC0,Glare,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(24).Flexes.FlexName,,C94DC45B4274514FF0EC93AD070AC58C,Frown,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(25).Flexes.FlexName,,9A56A804441DCAECEBF0EB88C931C600,Flirting,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(26).Flexes.FlexName,,93E103E649BD3AA362B8CF800B4AFDB3,Fierce,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(27).Flexes.FlexName,,6B8E446A48B96CBAACA89488D6F67761,Fear,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(28).Flexes.FlexName,,FC51855440B31A9C952C04892CCA2FE6,Excitement,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(29).Flexes.FlexName,,B9FA73F641563AD8E9A0ABA7880365E5,Drunk,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(3).Flexes.FlexName,,60E49AAC429C627A622A3FA2D018EFFD,Suspicious,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(30).Flexes.FlexName,,D4FBDB6842AEFBDC464B49A9C65D95D0,Disgust,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(31).Flexes.FlexName,,8EF9AF7642FED15BBB9600B05DC4CEF2,Desire,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(32).Flexes.FlexName,,A1CF1D654CD7633F1DCC5C869C5221C5,Contempt,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(33).Flexes.FlexName,,9D86FB174118D65CFEB382B16C1BF242,Confused,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(34).Flexes.FlexName,,4481CA4549E876963209599D696C7B0C,Confident,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(35).Flexes.FlexName,,FE985BE942E1D8DA4BD01BAF10DDA242,Concentrate,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(36).Flexes.FlexName,,1003199642C0A1FB4578EA99E9A794EB,Bored,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(37).Flexes.FlexName,,25B98FE445989E96DA00BEB7F305F274,Bereft,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(38).Flexes.FlexName,,01A56FFA40CBB393D869128C120DBD3B,Angry,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(39).Flexes.FlexName,,B778D5824518D2BB66D3D8A7FCC892F5,Afraid,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(4).Flexes.FlexName,,8869E15D4C6EC2F633D58F8DC5E08AED,Surprised,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(40).Flexes.FlexName,,1513F86D480DD531F70035942B207823,Eye Look Up-Down,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(41).Flexes.FlexName,,9D9C061345E3127E35BCAA9073593337,Eye Look Side-Side,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(5).Flexes.FlexName,,DE8FD42143FEF0A1E3585DA6871D7A65,Snarl,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(6).Flexes.FlexName,,BC2AC1EF4B1B79271A2228A73FB13BF2,Smile Open Full Face,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(7).Flexes.FlexName,,1CBEF0B94AC588FA5F722C8CA6E48732,Smile Full Face,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(8).Flexes.FlexName,,CDB6A8D34C81A2E3BC0633B3802D868F,Silly,
/Game/Vein/Animation/ML_Genesis9_Expressions.ML_Genesis9_Expressions.Flexes(9).Flexes.FlexName,,816197BB4771898A2AA81D8E12362EFB,Shock,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(0).Flexes.FlexName,,8A0A599F40B2BCC1941C878E6BED8115,Nose Whole Width,Larghezza Naso Intero
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(1).Flexes.FlexName,,629A776047FAAEE9666D4387C457C43F,Nose Whole Size,Dimensione Naso Intero
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(10).Flexes.FlexName,,E91AA663426636B237B394978F25DDE2,Nose Bridge Width,Larghezza Ponte Nasale
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(11).Flexes.FlexName,,7F31A8DE4667A1D3F852FD80607182F4,Nose Bridge Slope,Pendenza Ponte Nasale
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(12).Flexes.FlexName,,48FC27684A9716BD429D638847C95DDA,Nose Bridge Size,Dimensione Ponte Nasale
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(13).Flexes.FlexName,,75CABD594FD25944F136AF9F0F00A2AE,Nose Bridge Depth,Profondità Ponte Nasale
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(14).Flexes.FlexName,,E677362E4C4CB8243FAF1DA33AD1DCDB,Nose Bridge Bump,Urto del ponte del naso
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(15).Flexes.FlexName,,98A6DD45400E882A631E22A39C4D8184,Nose Base Size,Dimensione Base del Naso
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(16).Flexes.FlexName,,79B801E3413C3F65D7225195681637B0,Nose Base Height,Altezza Base del Naso
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(17).Flexes.FlexName,,03798BC34EB56D85793262B8026CFBE1,Nose Base Angle,Angolo Base del Naso
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(18).Flexes.FlexName,,75D3997C4EDDB331A566FCA54C919C66,Mouth Width,Larghezza Bocca
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(19).Flexes.FlexName,,AE6609E444479E9439D0E999726D9F2B,Mouth Size,Dimensione Bocca
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(2).Flexes.FlexName,,96117DFF4715A0C4D5AE01B8B9995CA7,Nose Whole Depth,Profondità Naso Intero
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(20).Flexes.FlexName,,ECAA616742C470EE1FAF67947CE36638,Mouth Height,Altezza Bocca
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(21).Flexes.FlexName,,EDD56D3E41AEF46CF0DDA7A637F517B7,Mouth Depth,Profondità Bocca
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(22).Flexes.FlexName,,1453EF8E44898BC0231DD98EE1A3C194,Lip Width Upper,Larghezza del labbro superiore
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(23).Flexes.FlexName,,C10F1A874889733D9DC1A382E38BFBD0,Lip Width Lower,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(24).Flexes.FlexName,,0B6FA6504FEBF48C16F7FFA4A12E2277,Lip Thin,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(25).Flexes.FlexName,,1AD75211404CE8A865304AAC0623DB72,Lip Square,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(26).Flexes.FlexName,,A944C1064A28F6B5BA096AA4BDB8578E,Lip Size Upper,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(27).Flexes.FlexName,,9AB9C83C4252E2FD6E71A3A5A0F81FE0,Lip Size Lower,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(28).Flexes.FlexName,,F5D4160E4A6979FF2B13FF99E6D0BB8B,Lip Heart,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(29).Flexes.FlexName,,51CA47974D7AF22037B27BB06626F74B,Lip Depth Upper,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(3).Flexes.FlexName,,FC42A5934723B68F0F078BBBB0B8B012,Nose Tip Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(30).Flexes.FlexName,,0012B9F64CBD0B1341F85FAC4B1FBC4D,Lip Depth Lower,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(31).Flexes.FlexName,,5732412F4AD1C05B74781988500A8237,Jaw Whole Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(32).Flexes.FlexName,,9A141A844965DA7CEC646C9416DCB0D7,Jaw Whole Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(33).Flexes.FlexName,,4FAEE6F04B2339FC9A4240A19FFD49D3,Jaw Whole Sharpen,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(34).Flexes.FlexName,,E84B231E4F2AD7DB842919ABE2B14FB7,Jaw Whole Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(35).Flexes.FlexName,,B40BA38B48B0E57E63DC148F8D55C3FC,Forehead Whole Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(36).Flexes.FlexName,,CA7618394B9FFCDE41139789741A4B7E,Forehead Whole Thin,Fronte intera e sottile
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(37).Flexes.FlexName,,02BAE9054658DDD6DD440B84367ADEA4,Forehead Whole Round,Fronte intera
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(38).Flexes.FlexName,,393109334A6DFDDBB679C8A454499BE9,Forehead Whole Flat,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(39).Flexes.FlexName,,ACADFC9146B3B5D59AA4A5BEA07A22EF,Face Young,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(4).Flexes.FlexName,,F5B0865C4809201EF50E4AB4F45FF56D,Nose Tip Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(40).Flexes.FlexName,,7F794CAA44E644005AFF18A2736CA325,Face Square,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(41).Flexes.FlexName,,8F84FD53442774054F458096C6B68A3B,Face Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(42).Flexes.FlexName,,5541B2284350133C50F652A658F7917C,Face Round,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(43).Flexes.FlexName,,2E3F4C82477ED0BBB45CEEB645AA5EC3,Face Older,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(44).Flexes.FlexName,,9532027B487A82574DE089995CB5A8A3,Face Heart,Faccia a cuore
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(45).Flexes.FlexName,,5464BDC34A9371352DB526AB13EEEC03,Face Flat,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(46).Flexes.FlexName,,D9C4B8F64968EE748311359B9B837551,Face Depth,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(47).Flexes.FlexName,,B66738634EC641AC00ABDD81FCD9BB82,Face Center Depth,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(48).Flexes.FlexName,,709DEF4D47175AD7BD249682558BD3F3,Face Angle,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(49).Flexes.FlexName,,E4E1C78C41C2CEC1A3B477A594E1D2D7,Eye Whole Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(5).Flexes.FlexName,,6EFF97C64FF69F51AAB6AD901256A37B,Nose Tip Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(50).Flexes.FlexName,,6A39A4074875B6511A23ABB46D025CC7,Eye Whole Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(51).Flexes.FlexName,,5386F394454F2DC6342B2799039204CA,Eye Whole Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(52).Flexes.FlexName,,3B22033B472B4151E388E7B5C059BFD2,Eye Whole Depth,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(53).Flexes.FlexName,,1E12E4C24241D6E02931BD872E76B2CB,Eye Whole Angle,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(54).Flexes.FlexName,,B749C4184E9EEA7F321BD88152E82769,Eyelid Angle Upper Outer,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(55).Flexes.FlexName,,18EFE3D242CFFC6377419A998A39FD04,Eyelid Angle Lower Outer,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(56).Flexes.FlexName,,E941164149E694CF34D1E1963C2CED62,Eye Angle Outer,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(57).Flexes.FlexName,,9B6E67DA48DEA4558F618F8CA80F92E2,Eye Angle Inner,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(58).Flexes.FlexName,,BE13995142274AE35B48FABCDBEB8381,Eye Almond Outer,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(59).Flexes.FlexName,,86A722D84EC0FE3174308A95DBF21629,Eye Almond Inner,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(6).Flexes.FlexName,,E8C89A3F42BBFCFBF92DA59259EC150F,Nose Tip Depth,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(60).Flexes.FlexName,,EED16A59458B1489C5DF9BA8B00FAE34,Chin Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(61).Flexes.FlexName,,BEB3E1B84DE4F7648BC315B4D89D26B7,Chin Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(62).Flexes.FlexName,,28D3A6CE478B9B72F6143DA9E30E9A33,Chin Depth,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(63).Flexes.FlexName,,02DD675C4143A53A2EA2A39063B8886E,Chin Cleft,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(64).Flexes.FlexName,,650904644697540D0E6B3385A4C1424E,Cheek Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(65).Flexes.FlexName,,E079416F492C221A35D62ABC43E70138,Cheekbone Thin,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(66).Flexes.FlexName,,421B1A1045A7E8B9F7439C82CBCD3BAA,Cheekbone Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(67).Flexes.FlexName,,C5C6DB114AB6930E401EA3A0E5E4B4B3,Brow Whole Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(68).Flexes.FlexName,,1A82FF0E434B3D86B0B0ECBA02DD7A2E,Brow Whole Size,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(69).Flexes.FlexName,,3AC0154C4AF664321033E3AF10CE6403,Brow Whole Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(7).Flexes.FlexName,,717AD0F14130C6A1B43B50B552E2C034,Nose Septum Width,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(8).Flexes.FlexName,,80C1AB354DB55A2D124CE0B875BF7EA5,Nose Septum Height,
/Game/Vein/Animation/ML_Genesis9_Face.ML_Genesis9_Face.Flexes(9).Flexes.FlexName,,F0381B0C404C76EAA4636393829CBE77,Nose Septum Depth,
/Game/Vein/Appliances/BP_AdvancedCharcoalKiln.BP_AdvancedCharcoalKiln_C:Furniture_GEN_VARIABLE.UsableName,,48C50E5A4C322563444BE1A973D0DE32,Advanced Charcoal Kiln,
/Game/Vein/Appliances/BP_AdvancedCharcoalKiln.BP_AdvancedCharcoalKiln_C:Heat Converter_GEN_VARIABLE.UsableName,,3B5D456642D8F8922853F0AE15E82F3B,Advanced Charcoal Kiln,
/Game/Vein/Appliances/BP_AdvancedCharcoalKiln.BP_AdvancedCharcoalKiln_C:Inventory_GEN_VARIABLE.Name,,0D5FD13F4104DF218C1E7C88DE893861,Advanced Charcoal Kiln,
/Game/Vein/Appliances/BP_AnimatedBodyBag.BP_AnimatedBodyBag_C:Furniture_GEN_VARIABLE.UsableName,,46A028A84EEC309AA50CAF9FC4191CA2,Body Bag,
/Game/Vein/Appliances/BP_AnimatedBodyBag.Default__BP_AnimatedBodyBag_C.UsableName,,EF3177E147486FA6D850108E6B2AD24E,Body Bag,
/Game/Vein/Appliances/BP_ArcadeCabinet01.BP_ArcadeCabinet01_C:Furniture_GEN_VARIABLE.UsableName,,001A7A4346F56EFEB8D8E9A0303165A8,Arcade Cabinet (Work in Progress),
/Game/Vein/Appliances/BP_ArcadeCabinet01.BP_ArcadeCabinet01_C:Wireable_GEN_VARIABLE.UsableName,,98E82D094BACDFD907CEFE86314F3A05,Arcade Cabinet,
/Game/Vein/Appliances/BP_ATM.BP_ATM_C:Furniture_GEN_VARIABLE.UsableName,,8186F359498C9041502FC1A5FD1D7E08,ATM,
/Game/Vein/Appliances/BP_ATM.BP_ATM_C:Wireable_GEN_VARIABLE.UsableName,,CE1C394B40E6E2076704768884EEDD71,ATM,
/Game/Vein/Appliances/BP_BarCounter02_Taps.BP_BarCounter02_Taps_C:Furniture_GEN_VARIABLE.UsableName,,DA998CED4EC0436072148A99C8BE06C3,Short Bar Counter w/ Taps,
/Game/Vein/Appliances/BP_BarCounter02_Taps.BP_BarCounter02_Taps_C:WaterSource_GEN_VARIABLE.DrainUseLabel,,4A046EE84C7CE621BEAE4F9D01181519,Empty Keg,
/Game/Vein/Appliances/BP_BarCounter02_Taps.BP_BarCounter02_Taps_C:WaterSource_GEN_VARIABLE.DrinkStoredNotification,,F9011A4B44950929BD0B17A37579E5B6,You drink from the nozzle.,
/Game/Vein/Appliances/BP_BarCounter02_Taps.BP_BarCounter02_Taps_C:WaterSource_GEN_VARIABLE.Label,,AA57023A450339BD67EBEA80FAE88521,Beer Taps,
